Median,Mean,Standard Deviation
0.9997488734250227,0.9997352838049368,2.8196469131045184e-05
0.9997403124318873,0.9997395454173461,3.230177954675e-05
0.99973490552853,0.9997319347289487,3.5331948946583555e-05
0.9997282565194614,0.9997369337766507,3.575239681027519e-05
0.9997372309075234,0.9997350132797544,2.907361286655075e-05
0.9997478481322257,0.9997502064369893,2.227372208092227e-05
0.9997249260958738,0.9997237300482011,3.5378565730524864e-05
0.9997373322642665,0.9997340175891379,4.3662283105758186e-05
0.9997361839243362,0.999728318173356,3.366485277772412e-05
0.999728621348949,0.9997217105282085,3.736249354772267e-05
0.9997399991542117,0.9997396385526454,2.6603869903229958e-05
0.9997361877651809,0.9997356943221141,4.1643414499916494e-05
0.9997335949316768,0.9997464064231314,4.5269467633034824e-05
0.9997320077983083,0.9997289643467708,2.504351757090513e-05
0.9997297284061176,0.9997234571940735,3.79191096044938e-05
0.9997474208288148,0.9997442027027128,2.7399112789142683e-05
0.9997372879198003,0.9997314332037976,3.772870235011356e-05
0.9997403198462054,0.9997290129557506,4.04378956443783e-05
0.9997415679116459,0.9997436934431478,3.200948059132753e-05
0.9997322957595829,0.9997264732329129,4.7037718579996894e-05
0.9997415248664703,0.9997370657554882,3.1017433427992e-05
0.9997373450313493,0.9997299560629538,2.8129766495284898e-05
0.9997353304188481,0.99973150545751,2.9494293796650144e-05
0.9997316783442985,0.9997375364740897,3.3922122529477495e-05
0.9997345502336326,0.9997283629231355,3.581954393339211e-05
0.9997401859803916,0.9997339463178143,2.469821438841703e-05
0.9997432709571843,0.9997263769317731,5.183658539627803e-05
0.9997295524444663,0.9997260895111996,3.5861339215003256e-05
0.9997316391252574,0.9997350298846266,3.04738386247219e-05
0.9997214146893407,0.9997321420338323,3.356267495097369e-05
0.9997417770833891,0.999741309063225,3.703365823180874e-05
0.9997211327003842,0.9997293472327071,2.6019643152851444e-05
0.9997277550072735,0.9997306217973938,3.080708907067265e-05
0.9997419365339174,0.9997358285504176,2.2324718521101594e-05
0.9997154277399556,0.9997284034164526,3.5262200657672724e-05
0.9997363076669296,0.9997316049777659,3.978406649382465e-05
0.9997213852373726,0.9997088722075995,3.881268912364667e-05
0.9997342350852536,0.9997376956008763,3.423118875126274e-05
0.9997239258603385,0.9997230861549559,4.27152583517478e-05
0.9997335774790355,0.9997349061936248,2.5767646305612987e-05
0.9997275134907824,0.9997295639268018,3.98423338154571e-05
0.9997309336338074,0.9997314278115594,2.9389945650535775e-05
0.9997184506189787,0.9997253151963055,3.9683214142990896e-05
0.9997356574950631,0.9997428759360973,3.996172887945352e-05
0.9997250101530033,0.9997252250567256,3.6543550743203916e-05
0.9997411082886619,0.9997421862842438,2.6898867900672902e-05
0.9997215933504093,0.9997285006425558,4.883416357288554e-05
0.9997386361508149,0.9997481097374861,3.525645947845878e-05
0.9997536004181671,0.9997474425257673,3.933072046233981e-05
0.9997383287625295,0.9997343345960992,3.6268503102221706e-05
0.9997512499589811,0.9997351470987015,4.646430586041918e-05
0.9997310580226424,0.9997365396392981,2.822957909160625e-05
0.9997419393154945,0.9997379312359541,2.820984847853126e-05
0.9997281821121218,0.9997142023006402,5.077666981843855e-05
0.999721823476633,0.9997209569401267,4.4258434508924055e-05
0.9997134990286857,0.9997171836937152,3.62320057257679e-05
0.9997230115986117,0.999723113164948,3.597226773336866e-05
0.9997529856193251,0.9997448148576347,3.675851113332238e-05
0.9997524943800763,0.999757078724258,2.750631415576195e-05
0.999751213170757,0.999740512835678,3.436317942784561e-05
0.999743800086816,0.9997391785555937,2.717445947295847e-05
0.9997327350835361,0.9997121405896925,4.4376211182831296e-05
0.9997434346891405,0.9997426876145497,3.6387252399649584e-05
0.9997528314425985,0.9997513191466025,2.8150248737957328e-05
0.9997537219985473,0.9997471357962023,2.9448267635988055e-05
0.9997143782033512,0.9978728389177085,0.005522976145649395
0.999736113446638,0.9997350847477646,4.242820437534608e-05
0.9997586356915931,0.9997593696682042,3.493768095084542e-05
0.9997331145870954,0.9997370557087262,2.2692081074966157e-05
0.9997351411766733,0.9997256383375808,5.461244185573481e-05
0.9997407692891059,0.9997342919142694,4.041341205859325e-05
0.9997282185017107,0.999719172056392,3.257612012132158e-05
0.9997335495840847,0.9997372293663508,3.860124743798702e-05
0.999755775926328,0.9997381700601254,4.234532574926714e-05
0.9997422039998614,0.9997375437646134,4.911901465627929e-05
0.9997275892316837,0.9997295488204392,3.138265470044723e-05
0.9997389253755913,0.9997342466918191,3.4460845387694166e-05
0.9997148721545546,0.9996288501578533,0.00029874157607708403
0.9997240933260632,0.9997222597776855,3.609149002974025e-05
0.9997362076084721,0.9997300923192289,3.9597849277522935e-05
0.9997305106709478,0.9997344567452693,2.8453077239689288e-05
0.9997266584841722,0.9997262540491512,3.648080075419775e-05
0.9997286425441098,0.9997389562867725,4.559105837378775e-05
0.9997370882034926,0.9997372421748294,1.7741700326959034e-05
0.999722310868381,0.9997305888905863,3.993463854463809e-05
0.999721678393743,0.9997223564313138,2.2621676020912476e-05
0.9997164254945679,0.9997225258750614,3.2011592497134176e-05
0.999708603613536,0.9997175394291915,3.093303463551312e-05
0.9997340137808248,0.9997311524877966,2.844756287813181e-05
0.9997418527446994,0.9997313658338765,2.8253276496908382e-05
0.9997352954947725,0.9997343694527281,3.133841776257518e-05
0.9997340910639407,0.999733396245451,2.1631062454693527e-05
0.9997284238592216,0.9997312283184069,2.480490525111369e-05
0.9997130549758704,0.9997192969987749,3.4000028152044084e-05
0.9997369585853872,0.9997156719126534,5.8534943131324874e-05
0.9997394534448808,0.9997400777020353,2.3486308542246797e-05
0.9997700064060135,0.9995944007332968,0.0005142445588197307
0.9997407184483802,0.999725852270376,3.62089879437188e-05
0.9997323524773969,0.9997281730152474,3.1449816698718293e-05
0.9997227650782156,0.9997247724749831,2.4165857156107296e-05
