Median,Mean,Standard Deviation
0.9999925857012226,0.999991377728783,4.539843656407802e-06
0.9999915533899303,0.999991348857795,4.10576795963321e-06
0.9999921532291769,0.9999865379783429,1.72332413282977e-05
0.9999906302202979,0.9999891411456547,7.71441535706913e-06
0.9999895257932403,0.9999774155664672,2.5190371542666948e-05
0.9999921488906194,0.9999915228147603,3.595992271145039e-06
0.9999928534092508,0.9999891371816876,8.308947887711538e-06
0.9999903964514001,0.9999884734556579,6.630512752877441e-06
0.999994932494205,0.999990779232108,1.0071316311363235e-05
0.9999909010994675,0.9999830809449568,2.568353967402005e-05
0.9999898996553753,0.9999854485038464,1.3356222295244192e-05
0.999993143766035,0.9999901741931353,8.028544296949373e-06
0.9999921881049151,0.9999897115387295,6.924133971628957e-06
0.9999928246095272,0.9999858665906594,1.2901330134142707e-05
0.9999959250047569,0.9999930430689561,4.995154761136794e-06
0.9999939200896864,0.9999924687197579,2.755141948397179e-06
0.9999933072075885,0.9999911236328668,7.300581139345428e-06
0.9999911354092439,0.9999895865880821,7.282557472191114e-06
0.9999938568154523,0.9999930680077954,2.4949642509855495e-06
0.9999928516228076,0.9999927067992592,3.145661560881551e-06
0.9999913679717719,0.9999906659993909,3.527100411837092e-06
0.9999926812959588,0.9999927063612477,1.8493750040741948e-06
0.9999893332851455,0.9999884142659108,4.352542202518578e-06
0.9999920885606415,0.9999911731833352,4.732125247251176e-06
0.9999902084478502,0.999982318910099,1.8698578786018874e-05
0.9999889027863131,0.9999862208811863,9.852753750182871e-06
0.9999942693022364,0.9999912730387299,7.304874071128607e-06
0.9999940163310254,0.9999935646512144,2.0451260097923027e-06
0.9999944916037988,0.999990033548394,1.4201291194742513e-05
0.9999861341592033,0.9999850758673337,9.012672555889357e-06
0.999995041804386,0.9999934835763946,5.201721422765736e-06
0.999995610062144,0.9999941138269115,3.5410032438047292e-06
0.9999941022020348,0.9999890067157496,9.576609963282677e-06
0.9999908156235369,0.9999890555566173,1.0388902143976885e-05
0.9999936274226442,0.9999878833126786,1.7584159923138808e-05
0.9999901912076069,0.9999877653388184,8.537529411530273e-06
0.9999964033660842,0.9999901891662315,1.675787680503776e-05
0.999994138711916,0.9999911227933816,9.681969214559949e-06
0.9999955175819571,0.9999899424748048,9.183039971990761e-06
0.999994807940768,0.9999935465119385,3.988768699959879e-06
0.999994458395595,0.9999941935508723,2.1555093034255044e-06
0.9999942673242372,0.999993120702752,2.539718769929972e-06
0.999996150003001,0.9999950060478102,2.271666262771409e-06
0.9999941899547239,0.9999923635406514,6.35042942130781e-06
0.9999915366074881,0.9999906357973216,4.658391238746217e-06
0.9999937616528136,0.9999892532416631,9.939720323886006e-06
0.9999886878282997,0.9999876518937858,6.46101399761357e-06
0.9999861630634851,0.9999844093346543,1.0612200335737478e-05
0.9999912771176991,0.9999908137401017,4.401602049274817e-06
0.999989536092883,0.9999860126629461,8.351096401929857e-06
0.999991550640425,0.9999908401446014,3.262908170974081e-06
0.9999936133922249,0.9999918056497631,5.128662810958757e-06
0.9999928909232918,0.9999902795637287,5.898813149779252e-06
0.9999913547685632,0.9999876251740444,1.3620211999404278e-05
0.9999945079693249,0.9999941038295864,3.05103144427417e-06
0.9999925865172792,0.9999848375090616,1.6830999693592566e-05
0.9999923477980666,0.999988648709485,9.377905735403116e-06
0.999994333936596,0.9999928834523273,4.552421243634462e-06
0.9999906650567414,0.999988782783611,4.4520529345787105e-06
0.9999942893422966,0.9999912489110898,7.522876256650997e-06
0.9999935859211604,0.9999896149267965,9.018531297150417e-06
0.9999927131527437,0.9999830333496481,2.480725410684959e-05
0.9999923736818945,0.9999900622958663,6.784472209894022e-06
0.9999911706135088,0.9999897725880127,4.310087025728013e-06
0.9999945861617774,0.9999930367372578,3.520481713140361e-06
0.9999925975121335,0.9999926454510535,3.1239583613474823e-06
0.9999887289511635,0.9999898501609232,4.7627341446790455e-06
0.9999920996776062,0.9999887255618981,8.074469065379037e-06
0.9999948894529893,0.9999924317761323,5.167451429659518e-06
0.9999914882160563,0.999990750469428,3.5604650028858355e-06
0.9999931371358959,0.9999927584200193,3.2216639410447297e-06
0.9999931640005804,0.9999928156373983,3.618424857909017e-06
0.9999957591958166,0.9999935850594192,5.040350610390192e-06
0.9999952824885627,0.9999950720013036,1.5945869789253197e-06
0.9999924408466837,0.9999879363902304,9.3636839629319e-06
0.9999941710657939,0.9999925614198879,4.951016311282878e-06
0.9999959345311061,0.9999951109631955,2.739667087854536e-06
0.999989145500751,0.9999901613387399,3.625651166870796e-06
0.9999921903224506,0.9999870869554333,1.549890540735862e-05
0.9999885207639185,0.9999879043528436,6.844857411997717e-06
0.999990229838397,0.9999903952410684,8.346176083441469e-06
0.9999938904160648,0.9999906405144999,6.130823937809597e-06
0.9999951751376603,0.9999935966621951,4.582733047882603e-06
