Median,Mean,Standard Deviation
0.9996296064081085,0.9995587720122637,0.00019509779229462268
0.9996229296788262,0.9995955941737069,0.00011239191046427003
0.9995123128933749,0.999491838993614,0.00016997881838901383
0.999639778619261,0.9996617238961718,0.00012460391196858963
0.9996839040999066,0.9997114057978932,0.00013048421755710728
0.9996333156578364,0.9996166444748725,0.00018885234109124218
0.9997099120161079,0.9996783898913814,0.0001636114760640966
0.9996438902577134,0.9995914535377821,0.00015921070627288373
0.9997146493148434,0.9996713794407522,0.00013138505027787377
0.9994891228640672,0.9994411700208836,0.00027839707369477456
